"NAME","X","Y","Z","NOTES"
"RS_D1","1005.626","1005.371","-3.782",""
"RS_D2","1003.473","1003.382","-4.502",""
"RS_D3","1000.656","1006.226","-3.252",""
"RS_D4","1007.397","1006.331","-3.337",""
"RS_D5","1008.185","1011.505","-1.293",""
"BDT1-A","1001.714","1008.637","-6.882",""
"BDT1-B","1001.719","1008.826","-6.879",""
"BDT1-C","1001.755","1009.019","-6.923",""
"BDT1-D","1001.751","1008.619","-7.038",""
"BDT1-E","1001.749","1008.763","-7.017",""
"BDT1-F","1001.759","1008.93","-6.977",""
"BDT1-G","1001.77","1009.15","-6.998",""
"BLK1DAT-1","1001.676","1008.581","-6.856",""
"BLKDAT-2","1001.678","1008.851","-6.832",""
"BLKDAT-3","1001.683","1009.113","-6.857",""
"BLKDAT-4","1001.679","1008.646","-6.959",""
"BLKDAT-5","1001.679","1008.805","-6.954",""
"BLKDAT-6","1001.682","1009.035","-6.934",""
"BLKDAT-7","1001.687","1009.228","-6.94",""
"BLKDAT-8","1001.678","1008.605","-7.031",""
"BLKDAT-9","1001.68","1008.847","-7.02",""
"BLKDAT-10","1001.684","1009.128","-7.003",""
"b2-t1","1001.663","1009.289","-6.901",""
"b2-t2","1001.679","1009.285","-7.061",""
"b2-t3","1001.671","1009.115","-7.072",""
"b2-t4","1001.666","1008.68","-7.101",""
"b2-t5","1001.668","1008.534","-7.109",""
"b2-t6","1001.664","1008.503","-6.952",""
"b2-t7","1001.589","1009.33","-6.902",""
"b2-t8","1001.593","1009.338","-7.025",""
"b2-t9","1001.593","1009.378","-7.08",""
"b2-t10","1001.597","1008.424","-7.148",""
"b2-t11","1001.597","1008.472","-7.102",""
