"UNIT","ID","SUFFIX","LEVEL","SUBLEVEL","CODE","EXCAVATOR","PRISM","NOTES","X","Y","Z","DATE","LOCALX","LOCALY","LOCALZ"
"BLOC02","OZWTP",0,"","","TOPO","Vera",,"",1001.633,1008.545,-6.841,"2019-08-07 16:31:03",0.068,-0.469,0.034
"BLOC02","OZWTP",1,"","","TOPO","Vera",,"None",1001.637,1008.564,-6.845,"2019-08-07 16:33:16",0.057,-0.453,0.037
"BLOC02","OZWTP",2,"","","TOPO","Vera",,"None",1001.639,1008.58,-6.846,"2019-08-07 16:33:30",0.046,-0.441,0.039
"BLOC02","OZWTP",3,"","","TOPO","Vera",,"None",1001.641,1008.599,-6.843,"2019-08-07 16:33:42",0.03,-0.43,0.042
"BLOC02","OZWTP",4,"","","TOPO","Vera",,"None",1001.634,1008.62,-6.842,"2019-08-07 16:33:53",0.014,-0.417,0.034
"BLOC02","OZWTP",5,"","","TOPO","Vera",,"None",1001.63,1008.621,-6.838,"2019-08-07 16:34:30",0.011,-0.419,0.03
"BLOC02","OZWTP",6,"","","TOPO","Vera",,"None",1001.617,1008.672,-6.827,"2019-08-07 16:34:54",-0.035,-0.393,0.018
"BLOC02","OZWTP",7,"","","TOPO","Vera",,"None",1001.619,1008.804,-6.812,"2019-08-07 16:37:10",-0.143,-0.315,0.021
"BLOC02","VGHWO",0,"","","TOPO","Vera",,"",1001.633,1008.544,-6.822,"2019-08-07 16:38:23",0.057,-0.483,0.034
"BLOC02","VGHWO",1,"","","TOPO","Vera",,"None",1001.63,1008.603,-6.828,"2019-08-07 16:39:37",0.016,-0.439,0.031
"BLOC02","VGHWO",2,"","","TOPO","Vera",,"None",1001.629,1008.62,-6.822,"2019-08-07 16:39:46",0.0,-0.432,0.03
"BLOC02","VGHWO",3,"","","TOPO","Vera",,"None",1001.613,1008.647,-6.822,"2019-08-07 16:39:53",-0.02,-0.415,0.014
"BLOC02","VGHWO",4,"","","TOPO","Vera",,"None",1001.612,1008.646,-6.823,"2019-08-07 16:39:59",-0.019,-0.414,0.013
"BLOC02","VGHWO",5,"","","TOPO","Vera",,"None",1001.615,1008.667,-6.824,"2019-08-07 16:40:06",-0.034,-0.399,0.016
"BLOC02","VGHWO",6,"","","TOPO","Vera",,"None",1001.625,1008.709,-6.822,"2019-08-07 16:40:14",-0.066,-0.372,0.026
"BLOC02","VGHWO",7,"","","TOPO","Vera",,"None",1001.623,1008.74,-6.815,"2019-08-07 16:40:19",-0.093,-0.356,0.024
"BLOC02","VGHWO",8,"","","TOPO","Vera",,"None",1001.622,1008.779,-6.811,"2019-08-07 16:40:23",-0.125,-0.333,0.023
"BLOC02","VGHWO",9,"","","TOPO","Vera",,"None",1001.619,1008.824,-6.805,"2019-08-07 16:40:30",-0.162,-0.307,0.021
"BLOC02","VGHWO",10,"","","TOPO","Vera",,"None",1001.62,1008.871,-6.8,"2019-08-07 16:40:36",-0.199,-0.279,0.023
