"name","x","y","z","day","time"
"BSF_ENTREY",102.271,95.922,0.464,"6/9/94 12:00:00 AM","1/1/00 2:13:06 PM"
"DARUM_WALL",98.354,96.352,-1.664,"6/15/94 12:00:00 AM","1/1/00 1:57:23 PM"
"DATUM 15",99.041,101.038,0.284,"6/25/94 12:00:00 AM","1/1/00 1:05:53 PM"
"DATUM_A",97.717,100.033,-0.951,"6/18/94 12:00:00 AM","1/1/00 5:32:46 PM"
"DATUM_D",99.856,100.033,-1.118,"6/18/94 12:00:00 AM","1/1/00 5:35:20 PM"
"DATUM_NAIL",98.032,108.665,0.367,"6/10/94 12:00:00 AM","1/1/00 2:05:56 PM"
"DATUM_REDX",97.811,103.474,-0.966,"6/18/94 12:00:00 AM","1/1/00 5:33:54 PM"
"DATUM_STAI",97.675,102.061,-1.736,"6/15/94 12:00:00 AM","1/1/00 1:55:39 PM"
"DATUM1 ",98.539,108.408,0.149,"6/18/94 12:00:00 AM","1/1/00 5:27:19 PM"
"DATUM10",95.537,98.696,-0.999,"6/3/94 12:00:00 AM","1/1/00 2:08:29 PM"
"DATUM11",97.577,91.113,-1.658,"6/7/94 12:00:00 AM","1/1/00 12:33:15 PM"
"DATUM12",97.979,108.375,-0.602,"6/5/94 12:00:00 AM","1/1/00 9:49:55 AM"
"DATUM13",93.825,103.316,-1.751,"6/7/94 12:00:00 AM","1/1/00 12:31:28 PM"
"DATUM14",97.742,103.192,-1.441,"6/7/94 12:00:00 AM","1/1/00 12:32:21 PM"
"DATUM2 ",92.238,107.21,0.007,"6/18/94 12:00:00 AM","1/1/00 5:30:02 PM"
"DATUM3 ",95.222,101.754,-0.605,"6/5/94 12:00:00 AM","1/1/00 9:48:56 AM"
"DATUM4",95.245,108.025,0.119,"6/18/94 12:00:00 AM","1/1/00 5:28:20 PM"
"DATUM5",106.543,99.855,1.096,"6/15/94 12:00:00 AM","1/1/00 7:59:02 AM"
"DATUM6",107.39,106.691,1.943,"6/15/94 12:00:00 AM","1/1/00 8:00:39 AM"
"DATUM7",93.062,105.015,1.011,"6/15/94 12:00:00 AM","1/1/00 8:04:40 AM"
"DATUM8",106.421,103.049,1.113,"6/15/94 12:00:00 AM","1/1/00 8:27:04 AM"
"DATUM9",90.701,105.696,0.498,"6/12/94 12:00:00 AM","1/1/00 9:48:11 AM"
"G1",100,107,0,"6/18/94 12:00:00 AM","1/1/00 12:52:10 PM"
