"RECNO","UNIT","ID","SUFFIX","LEVEL","SUBCONTEXT","CODE","EXCAVATOR","BUCKETNO","PRISM","BUCKETVOL","NOTES","X","Y","Z","DATE","TIME"
"1","DD8","2155",0,"N1-J"," ","Bone","TSENKA"," ",0.1,0," ",92.623,96.999,-3.916,"6/16/19 11:47:42 AM","1/1/00 11:47:42 AM"
"2","CC8","2495",5,"N1-J"," ","MICROSED","TSENKA"," ",0.1,0,"BK-502 ",92.685,97.113,-4.004,"6/16/19 12:02:52 PM","1/1/00 12:02:52 PM"
"3","CC8","2495",6,"N1-J"," ","MICROSED","TSENKA"," ",0.1,0,"BK-502 ",92.583,97.104,-3.982,"6/16/19 12:06:43 PM","1/1/00 12:06:43 PM"
"4","CC8","2495",7,"N1-J"," ","MICROSED","TSENKA"," ",0.1,0,"BK-502 ",92.589,97.122,-4.082,"6/16/19 12:07:57 PM","1/1/00 12:07:57 PM"
"5","CC8","2495",8,"N1-J"," ","MICROSED","TSENKA"," ",0.1,0,"BK-502 ",92.661,97.109,-4.093,"6/16/19 12:09:00 PM","1/1/00 12:09:00 PM"
"6","DD8","2156",0,"N1-3a"," ","DNA","ELENA"," ",0.1,0," ",92.139,96.901,-2.447,"6/16/19 12:52:26 PM","1/1/00 12:52:26 PM"
"7","DD8","2157",0,"N1-3b"," ","DNA","ELENA"," ",0,0," ",92.077,96.868,-2.594,"6/16/19 12:57:02 PM","1/1/00 12:57:02 PM"
"8","DD8","2158",0,"N1 3c/3d"," ","DNA","ELENA"," ",0,0," ",92.048,96.954,-2.894,"6/16/19 1:55:27 PM","1/1/00 1:55:27 PM"
"9","DD8","2159",0,"N1-G1"," ","DNA","ELENA"," ",0,0," ",92.056,96.969,-3.117,"6/16/19 1:57:18 PM","1/1/00 1:57:18 PM"
"10","DD8","2160",0,"N1-G2"," ","DNA","ELENA"," ",0,0," ",92.062,96.968,-3.298,"6/16/19 1:58:17 PM","1/1/00 1:58:17 PM"
"11","DD8","2161",0,"N1-G2"," ","DNA","ELENA"," ",0,0," ",92.115,96.998,-3.402,"6/16/19 1:58:54 PM","1/1/00 1:58:54 PM"
