"name","x","y","z","day","time"
"19_1",1002.586,999.203,97.621,"6/25/94 12:00:00 AM","1/1/00 10:32:31 AM"
"19_2",999.111,999.517,100.494,"6/25/94 12:00:00 AM","1/1/00 10:33:43 AM"
"19_3",993.769,1000.3,102.134,"6/25/94 12:00:00 AM","1/1/00 10:35:13 AM"
"19_4",1005.12,999.782,97.311,"6/7/94 12:00:00 AM","1/1/00 4:20:56 PM"
"19_5",1001.828,1001.159,96.927,"6/15/94 12:00:00 AM","1/1/00 2:35:39 PM"
"19_6",1001.25,999.257,98.549,"6/15/94 12:00:00 AM","1/1/00 3:14:14 PM"
"19_7",1001.831,1001.195,96.933,"6/15/94 12:00:00 AM","1/1/00 3:16:16 PM"
"20_1",1005.068,999.724,97.241,"6/25/94 12:00:00 AM","1/1/00 12:07:58 PM"
"20_2",999.093,999.672,100.145,"6/21/94 12:00:00 AM","1/1/00 10:11:43 AM"
"d_2018_1",1002.69,998.147,100.033,"6/27/94 12:00:00 AM","1/1/00 2:25:54 PM"
"d_2018_2",1002.54,998.275,100.733,"6/27/94 12:00:00 AM","1/1/00 2:26:46 PM"
"d_2018_3",999.107,999.55,100.44,"6/27/94 12:00:00 AM","1/1/00 2:28:43 PM"
"d_2018_4",993.976,1000.247,102.814,"6/14/94 12:00:00 AM","1/1/00 4:29:26 PM"
"d_2018_5",1001.452,999.27,98.603,"6/14/94 12:00:00 AM","1/1/00 7:01:26 PM"
"D1_NEW",997.485,1006.616,101.433,"6/24/94 12:00:00 AM","1/1/00 12:07:09 PM"
"D2_NEW",1004.697,988.527,101.984,"6/24/94 12:00:00 AM","1/1/00 12:05:46 PM"
"D3_NEW",1022.28,1019.493,100.044,"6/24/94 12:00:00 AM","1/1/00 12:08:51 PM"
"D4_NEW",1019.444,999.622,99.294,"6/24/94 12:00:00 AM","1/1/00 12:05:11 PM"
"d5",998.877,999.868,101.108,"6/14/94 12:00:00 AM","1/1/00 12:29:01 PM"
"d6",993.915,1001.96,101.094,"6/14/94 12:00:00 AM","1/1/00 12:30:58 PM"
"d7",1008.352,1011.945,102.408,"6/14/94 12:00:00 AM","1/1/00 12:32:17 PM"
"d8",992.566,997.124,101.385,"7/1/94 12:00:00 AM","1/1/00 7:51:38 AM"
"d9",1008.406,1011.918,102.416,"6/19/94 12:00:00 AM","1/1/00 8:26:21 AM"
"deast",1030.431,1023.871,98.436,"6/24/94 12:00:00 AM","1/1/00 12:26:49 PM"
"dnord",1005.647,1006.367,99.76,"6/24/94 12:00:00 AM","1/1/00 12:29:05 PM"
"dwest",1015.682,994.432,98.172,"6/24/94 12:00:00 AM","1/1/00 12:28:03 PM"
