Name,Day,Time,x,y,Z,OldZ
DAT10,07-Aug-13,00-Jan-00,103.747,113.244,2.146,
DAT12,21-Aug-13,00-Jan-00,103.755,113.251,2.144,
DAT13,21-Jul-14,00-Jan-00,107.93,108.118,-0.862,
DAT14,21-Jul-14,00-Jan-00,108.357,99.205,-1.745,
DAT2,21-Jun-10,00-Jan-00,108.017,104.159,-1.247,
DAT3NEW,23-Jun-11,00-Jan-00,105.461,100.382,-1.082,
DAT4,14-Jul-11,00-Jan-00,110.246,99.618,-1.186,
DAT5,14-Jul-11,00-Jan-00,120.873,96.373,-0.528,
DAT6,12-Aug-12,00-Jan-00,99.326,111.322,0.374,
DAT7,12-Aug-12,00-Jan-00,110.294,108.901,-0.934,
ROADPOLE,23-Jun-11,00-Jan-00,91.776,101.204,-1.428,
