RecNo,UNIT,ID,SUFFIX,CODE,EXCAVATOR,LEVEL,FEATURE,BUCKETVOL,TIME,BUCKETUNIT,DATE,BUCKETID,PRISM,X,Y,Z,SITENAME
17916,A15,   85,0,SILEX,,CPEBROWN,,,2:38:40 PM,COUPE,8/11/2014,125,0.1,1122.416,1113.677,-0.147,0
17915,COUPE,  130,0,,TORY,CPEBROWN,,,2:38:18 PM,COUPE,8/11/2014,125,0.1,1123.681,1113.478,0.294,0
17917,COUPE,  130,1,,TORY,CPEBROWN,,,2:38:50 PM,COUPE,8/11/2014,125,0.1,1123.166,1112.762,0.281,0
17932,COUPE,  131,0,TAMIS,TORY,1,,,2:44:40 PM,COUPE,8/11/2014,131,0.1,1122.379,1113.307,-0.322,0
17918,COUPE,  131,0,TAMIS,TORY,CPEBROWN,,,2:44:06 PM,COUPE,8/11/2014,131,0.1,1122.545,1113.11,0.549,0
17933,COUPE,  132,0,TAMIS,TORY,1,,,2:45:31 PM,COUPE,8/11/2014,132,0.1,1122.612,1113.034,-0.235,0
17943,COUPE,  132,0,TAMIS,TORY,5a,,,2:45:55 PM,COUPE,8/11/2014,132,0.1,1123.753,1113.079,0.422,0
17958,COUPE,  132,1,TAMIS,TORY,5b,,,2:55:31 PM,COUPE,8/11/2014,132,0.1,1123.302,1113.436,0.061,0
17944,COUPE,  133,0,TAMIS,TORY,5a,,,2:55:07 PM,COUPE,8/11/2014,132,0.1,1124.106,1112.793,0.489,0
17959,COUPE,  134,0,SILEX,TORY,5b,,,3:15:07 PM,COUPE,10/20/2014,132,0.1,1122.198,1113.327,-0.13,0
17960,COUPE,  135,0,OS,TORY,5b,,,3:15:13 PM,COUPE,10/20/2014,132,0.1,1122.747,1113.149,0.53,0
17961,COUPE,  136,0,SHELL,TORY,7a,,,3:17:23 PM,COUPE,10/20/2014,132,0.1,1122.517,1113.357,-0.271,0
17962,COUPE,  137,0,SILEX,TORY,7a,,,3:25:32 PM,COUPE,10/20/2014,132,0.1,1123.782,1113.364,0.459,0
17936,COUPE,DJJXU,2,LEVELTOP,TORY,5a,,,2:45:52 PM,COUPE,8/11/2014,132,0.100000001,1123.027,1113.203,-0.242,0
17934,COUPE,DJJXU,0,LEVELTOP,TORY,5a,,,2:45:44 PM,COUPE,8/11/2014,132,0.1,1123.52,1112.927,0.385,0
17935,COUPE,DJJXU,1,LEVELTOP,TORY,5a,,,2:45:52 PM,COUPE,8/11/2014,132,0.100000001,1124.068,1113.508,-0.067,0
17937,COUPE,DJJXU,3,LEVELTOP,TORY,5a,,,2:45:53 PM,COUPE,8/11/2014,132,0.100000001,1123.437,1112.781,0.012,0
17942,COUPE,DJJXU,8,LEVELTOP,TORY,5a,,,2:45:53 PM,COUPE,8/11/2014,132,0.100000001,1122.559,1113.263,-0.373,0
17941,COUPE,DJJXU,7,LEVELTOP,TORY,5a,,,2:45:53 PM,COUPE,8/11/2014,132,0.100000001,1123.514,1113.339,0.063,0
17940,COUPE,DJJXU,6,LEVELTOP,TORY,5a,,,2:45:53 PM,COUPE,8/11/2014,132,0.100000001,1123.587,1113.297,0.427,0
17939,COUPE,DJJXU,5,LEVELTOP,TORY,5a,,,2:45:53 PM,COUPE,8/11/2014,132,0.100000001,1122.171,1113.01,0.206,0
17938,COUPE,DJJXU,4,LEVELTOP,TORY,5a,,,2:45:53 PM,COUPE,8/11/2014,132,0.100000001,1123.048,1113.056,-0.079,0
17907,COUPE,JDYVV,0,NATURAL,KRIS,LAF8-4,,,,LAF8,8/1/2014,764,0.1,117.267,110.13,-2.53,
17951,COUPE,TETNS,6,LEVELTOP,TORY,5b,,,2:55:27 PM,COUPE,8/11/2014,132,0.100000001,1122.673,1112.792,0.565,0
17957,COUPE,TETNS,12,LEVELTOP,TORY,5b,,,2:55:29 PM,COUPE,8/11/2014,132,0.100000001,1123.216,1113.257,0.461,0
17956,COUPE,TETNS,11,LEVELTOP,TORY,5b,,,2:55:28 PM,COUPE,8/11/2014,132,0.100000001,1122.55,1113.198,-0.004,0
17955,COUPE,TETNS,10,LEVELTOP,TORY,5b,,,2:55:28 PM,COUPE,8/11/2014,132,0.100000001,1122.363,1112.929,-0.11,0
